listing_id,title,price_kes,bedrooms,bathrooms,size_sqm,property_type,neighbourhood,county,listing_type,is_sale,is_nairobi,total_rooms,price_per_sqm,bedroom_category,url,scraped_at,price_raw,bedrooms_raw,bathrooms_raw,size_raw,location
3929132,5 Bed Townhouse with En Suite in Lavington,95000000.0,5.0,6.0,,Townhouse,Lavington,,sale,1,1,11.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3929132,2026-03-05 16:58,"KSh 95,000,000",5 Bedrooms,6 Bathrooms,,
3899840,3 Bed Townhouse with En Suite at Dagoretti Road,22500000.0,3.0,3.0,223.0,Townhouse,Gikambura,Kikuyu,sale,1,0,6.0,100897.0,3 Bed,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-gikambura-3899840,2026-03-05 16:58,"KSh 22,500,000",3 Bedrooms,3 Bathrooms,223 m²,"Gikambura, Kikuyu"
3923500,6 Bed House with En Suite in Thigiri,260000000.0,6.0,6.0,,House,Thigiri,Westlands,sale,1,1,12.0,,6+ Bed,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-thigiri-3923500,2026-03-05 16:58,"KSh 260,000,000",6 Bedrooms,6 Bathrooms,,"Thigiri, Westlands"
3936874,4 Bed Townhouse with En Suite at Muhuri Road,25000000.0,4.0,5.0,240.0,Townhouse,Cascading Ridge Views Estate,New,sale,1,0,9.0,104167.0,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-waiyaki-way-3936874,2026-03-05 16:58,"KSh 25,000,000",4 Bedrooms,5 Bathrooms,240 m²,"Cascading Ridge Views Estate,  New"
3934405,5 Bed House with En Suite at Riverside,7800000.0,5.0,4.0,200.0,House,Riverside,,sale,1,1,9.0,39000.0,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kenyatta-road-3934405,2026-03-05 16:58,"KSh 7,800,000",5 Bedrooms,4 Bathrooms,200 m²,
3939060,5 Bed House with En Suite at 00502,165000000.0,5.0,6.0,5.0,House,,,sale,1,0,11.0,33000000.0,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3939060,2026-03-05 16:58,"KSh 165,000,000",5 Bedrooms,6 Bathrooms,"0,5 ac",
3938790,5 Bed Townhouse with En Suite in Lavington,75000000.0,5.0,5.0,,Townhouse,Lavington,,sale,1,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3938790,2026-03-05 16:58,"KSh 75,000,000",5 Bedrooms,5 Bathrooms,,
3938988,6 Bed Townhouse with En Suite in Karen,155000000.0,6.0,7.0,,Townhouse,Karen,,sale,1,1,13.0,,6+ Bed,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-karen-3938988,2026-03-05 16:58,"KSh 155,000,000",6 Bedrooms,7 Bathrooms,,
3938950,4 Bed House with En Suite at Thika Road,14500000.0,4.0,5.0,,House,Thika Road,,sale,1,0,9.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ruiru-3938950,2026-03-05 16:58,"KSh 14,500,000",4 Bedrooms,5 Bathrooms,,
3938946,5 Bed Townhouse in Karen,145000000.0,5.0,6.0,,Townhouse,Karen,,sale,1,1,11.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-karen-3938946,2026-03-05 16:58,"KSh 145,000,000",5 Bedrooms,6 Bathrooms,,
