listing_id,title,price_raw,bedrooms_raw,bathrooms_raw,size_raw,location,property_type,status,listing_type,agent,url,scraped_at
3929132,5 Bed Townhouse with En Suite in Lavington,"KSh 95,000,000",5 Bedrooms,6 Bathrooms,,,Townhouse,,sale,5-Bedroom Luxury Villa for Sale in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3929132,2026-03-05 16:58
3899840,3 Bed Townhouse with En Suite at Dagoretti Road,"KSh 22,500,000",3 Bedrooms,3 Bathrooms,223 m²,"Gikambura, Kikuyu",Townhouse,,sale,3 BEDROOM  TOWHOUSES FOR SALE  IN GIKAMBURA ATA...,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-gikambura-3899840,2026-03-05 16:58
3923500,6 Bed House with En Suite in Thigiri,"KSh 260,000,000",6 Bedrooms,6 Bathrooms,,"Thigiri, Westlands",House,,sale,Luxurious Modern Ambassadorial Villa for Sale i...,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-thigiri-3923500,2026-03-05 16:58
3936874,4 Bed Townhouse with En Suite at Muhuri Road,"KSh 25,000,000",4 Bedrooms,5 Bathrooms,240 m²,"Cascading Ridge Views Estate,  New",Townhouse,,sale,"Cascading Ridge Views Estate,  New 4,5 &6-bedro...",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-waiyaki-way-3936874,2026-03-05 16:58
3934405,5 Bed House with En Suite at Riverside,"KSh 7,800,000",5 Bedrooms,4 Bathrooms,200 m²,,House,,sale,Five bedroom modern house for sale,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kenyatta-road-3934405,2026-03-05 16:58
3939060,5 Bed House with En Suite at 00502,"KSh 165,000,000",5 Bedrooms,6 Bathrooms,"0,5 ac",,House,,sale,"House for sale in New Runda, kiambu road.",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3939060,2026-03-05 16:58
3938790,5 Bed Townhouse with En Suite in Lavington,"KSh 75,000,000",5 Bedrooms,5 Bathrooms,,,Townhouse,,sale,Stunningly renovated 5-bedroom townhouse with s...,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3938790,2026-03-05 16:58
3938988,6 Bed Townhouse with En Suite in Karen,"KSh 155,000,000",6 Bedrooms,7 Bathrooms,,,Townhouse,,sale,6 brm for sale in karen,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-karen-3938988,2026-03-05 16:58
3938950,4 Bed House with En Suite at Thika Road,"KSh 14,500,000",4 Bedrooms,5 Bathrooms,,,House,,sale,A newly built Modern mansion on sale in Ruiru,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ruiru-3938950,2026-03-05 16:58
3938946,5 Bed Townhouse in Karen,"KSh 145,000,000",5 Bedrooms,6 Bathrooms,,,Townhouse,,sale,Elegant 5-Bedroom Family Home in Karen – 1 Acre,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-karen-3938946,2026-03-05 16:58
3936350,6 Bed Townhouse with En Suite in Karen,"KSh 130,000,000",6 Bedrooms,7 Bathrooms,,,Townhouse,,sale,A 6 bedroom home for sale in karen,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-karen-3936350,2026-03-05 16:58
3892760,3 Bed Townhouse with En Suite in Windsor,"KSh 21,900,000",3 Bedrooms,3 Bathrooms,,"Windsor, Roysambu",Townhouse,,sale,Windsor Gold View – 3 Bedroom All-En-suite Town...,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-windsor-3892760,2026-03-05 16:58
3938744,3 Bed House with Garden in Buruburu,"KSh 12,000,000",3 Bedrooms,,,,House,,sale,3 BEDROOM BUNGALOW FOR SALE – BURUBURU,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-buruburu-3938744,2026-03-05 16:58
3912476,3 Bed Townhouse with En Suite in Tatu City,"KSh 29,950,000",3 Bedrooms,3 Bathrooms,,"Tatu City, Ruiru",Townhouse,,sale,"3 and 4 bedroom duplexes, triplexes, and townho...",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-tatu-city-3912476,2026-03-05 16:58
3914036,6 Bed Villa with En Suite in Lavington,"KSh 100,000,000",6 Bedrooms,,,,Villa,,sale,Exclusive 6-Bedroom Luxury Residence in Prime N...,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-lavington-3914036,2026-03-05 16:58
3938622,3 Bed House with Staff Quarters in Syokimau,"KSh 12,500,000",3 Bedrooms,2 Bathrooms,,,House,,sale,3 Bedroom Massionate plus a DSQ House For Sale...,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-syokimau-3938622,2026-03-05 16:58
3938732,3 Bed House with Garden in Buruburu,"KSh 10,500,000",3 Bedrooms,,,,House,,sale,3 BEDROOM MAISONETTE FOR SALE – BURUBURU PHASE...,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-buruburu-3938732,2026-03-05 16:58
3938684,4 Bed Townhouse with En Suite in Langata,"KSh 37,000,000",4 Bedrooms,4 Bathrooms,,,Townhouse,,sale,Exclusive 4-Bedroom Townhouses | From KSh 37M,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-langata-3938684,2026-03-05 16:58
3938668,6 Bed House with En Suite at 00502,"KSh 50,000,000",6 Bedrooms,6 Bathrooms,"0,13 ac","Runda, Westlands",House,,sale,House for sale on kiambu road.,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-runda-3938668,2026-03-05 16:58
3936225,3 Bed Townhouse with Staff Quarters in Syokimau,"KSh 13,500,000",3 Bedrooms,2 Bathrooms,"0,13 ac",,Townhouse,,sale,Unique Listings,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-syokimau-3936225,2026-03-05 16:58
3938568,6 Bed House with En Suite in Karen,"KSh 130,000,000",6 Bedrooms,6 Bathrooms,478 m²,,House,,sale,Stunning 6 BR House plus Sqs in Karen,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-karen-3938568,2026-03-05 16:58
3938567,3 Bed Villa with En Suite at Diani,"KSh 74,000,000",3 Bedrooms,3 Bathrooms,,,Villa,,sale,Exclusive 3 Bedroom Luxury Villa For Sale,https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-diani-3938567,2026-03-05 16:58
3938560,5 Bed House with Swimming Pool in Karen,"KSh 150,000,000",5 Bedrooms,6 Bathrooms,"0,5 ac",,House,,sale,Modern 5 bedroom House Available for Sale in Ka...,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3938560,2026-03-05 16:58
3938540,5 Bed Villa with En Suite at Lavington Nairobi Kenya,"KSh 67,000,000",5 Bedrooms,6 Bathrooms,400 m²,"LAVINGTON, NAIROBI",Villa,,sale,"FOR SALE | LAVINGTON, NAIROBI  🏡 Newly Renovat...",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3938540,2026-03-05 16:58
3938546,5 Bed House with En Suite in Runda,"KSh 100,000,000",5 Bedrooms,5 Bathrooms,"0,5 ac","Runda, Westlands",House,,sale,Spacious 5 Bedroom  Home On Half Acre For Sale...,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3938546,2026-03-05 16:58
3834086,4 Bed Townhouse with En Suite at King'S Eood,"KSh 23,000,000",4 Bedrooms,4 Bathrooms,350 m²,,Townhouse,,sale,Luxurious 4 bedroom maisonette on sale at king'...,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-vipingo-3834086,2026-03-05 16:58
3746113,5 Bed Townhouse with En Suite in Lavington,"KSh 77,000,000",5 Bedrooms,6 Bathrooms,,,Townhouse,,sale,5 bedroom  townhouse for sale in Lavingtone,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3746113,2026-03-05 16:58
3890696,4 Bed House with En Suite in Westlands Area,"KSh 105,000,000",4 Bedrooms,4 Bathrooms,,"Westlands Area, Westlands",House,,sale,New & Modern 4 Bedroom all ensuite units plus D...,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-westlands-area-3890696,2026-03-05 16:58
3938518,5 Bed House with Swimming Pool at Miotoni Karen,"KSh 200,000,000",5 Bedrooms,6 Bathrooms,"0,5 ac",,House,,sale,5 Bedroom Modern House for Sale in Karen Mioton...,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3938518,2026-03-05 16:58
3938453,4 Bed House with En Suite at Malindi Beach,"KSh 150,000,000",4 Bedrooms,5 Bathrooms,2.023 m²,,House,,sale,4-Bedroom Beachfront Villa for Sale – Silversan...,https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-sale-malindi-3938453,2026-03-05 16:58
3938484,4 Bed Townhouse with Staff Quarters at Migaa Estate,"KSh 35,000,000",4 Bedrooms,5 Bathrooms,,,Townhouse,,sale,Newly built 4 bedroom For Sale in Migaa Estate,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3938484,2026-03-05 16:58
3938482,5 Bed House with Staff Quarters in Runda,"KSh 250,000,000",5 Bedrooms,6 Bathrooms,"0,5 ac","Runda, Westlands",House,,sale,Modern and newly Built 5 bedroom house for Sale...,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3938482,2026-03-05 16:58
